2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://sc.hbzy.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://hqxc.biem.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://webvpn.njucm.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://bath.sicau.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://ygb.haust.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://kyb.fmmu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://uco.shanghaitech.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://www.digmus.fudan.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://wmxy.fjnufq.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://bwc.gzucm.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://gcclsy.haust.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://life.dlou.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://zyjnjds.gzccc.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://lxy.nwafu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://www.njnu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://xsc.bjypc.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://yjsjy.gyctcm.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : https://www.alexa.com/siteinfo/www.zsxx.hbnu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://gjjl.imnu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://pgzx.qust.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://zjs.tjtc.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://www3.haut.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://jwc.ecut.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://cy.hbtcm.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://zcc.neu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://www.math.pku.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://www.xaau.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://sqsy.jse.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://cicep.xmu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://jycxy.hhit.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://sdu.edu.cn.outerstats.com
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://rsgl.wzu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://zby.jy.hunau.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : https://newvpn.zfc.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://jdjc.jmu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://gjc.jlu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://sq.ustb.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://ibschool.hnu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://press.ujs.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://oy.henu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://xwgk.fzu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://www.abtc.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://psy.gzucm.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://open.tongji.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://xl.hzu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://openlab.dufe-sba.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://www.gs.stu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://ky.sufe.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://zhgg.sdjtu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://syjx.gzarts.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://global.jlu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://hebei.ggw.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://metc.gdut.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://cjxycj.xzit.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://sif.bift.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://shuidian.hebeu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://smarx.cumtb.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://sjc.buaa.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://yx.dhu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://yjs.hznu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://news.xidian.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://dysilab.njau.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://english.nau.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://news.nwnu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://pjzx.hnu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://skjd.hzvtc.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://xiaobao.imau.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://xuegong.nxu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://jyc.ccnu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://opac.lib.dlut.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://ybzx.yangtzeu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://yz.jxust.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://yyj.bda.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://www.calis.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://yyxy.gznu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://ncwu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://zsb.lcu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://zyzx.zzuli.edu.cn
